 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.3,0.46,0.86,0.28,0.95,0.98,0.97,0.83,0.66,0.55,0.7,0.96,0.23,0.76,0.26,0.16,0.27,DST_086_M_DIS.csv
0.37,0.31,0.46,0.4,0.61,0.44,0.54,0.22,0.52,0.44,0.84,0.7,0.86,0.6,0.49,0.5,0.39,DST_074_M_NUT.csv
0.63,0.38,0.9,0.26,0.62,0.87,0.58,0.52,0.52,0.59,0.92,0.92,0.52,0.51,0.35,0.66,0.45,DST_096_M_SAD.csv
0.43,0.37,0.38,0.58,0.94,0.88,0.73,0.65,0.94,0.65,0.45,0.54,0.39,0.49,0.42,0.07,0.27,DST_029_F_HPY.csv
0.92,0.96,0.33,1.0,0.44,0.82,0.38,0.27,0.4,0.35,0.65,0.61,0.76,0.48,0.47,0.8,0.2,DST_051_M_SUR.csv
0.92,0.98,0.34,0.99,0.26,0.25,0.17,0.1,0.39,0.51,0.47,0.59,0.71,0.53,0.43,0.53,0.29,DST_157_F_FER.csv
0.88,0.98,0.38,0.99,0.19,0.18,0.33,0.47,0.31,0.04,0.37,0.58,0.58,0.49,0.72,0.78,0.39,DST_099_M_SUR.csv
0.54,0.51,0.38,0.46,0.68,0.4,0.56,0.39,0.63,0.58,0.66,0.72,0.7,0.61,0.55,0.38,0.46,DST_106_M_NUT.csv
0.89,0.94,0.31,0.99,0.23,0.54,0.2,0.23,0.33,0.14,0.55,0.6,0.19,0.48,0.8,0.74,0.52,DST_170_F_SUR.csv
0.54,0.45,0.78,0.22,0.85,0.86,0.61,0.7,0.69,0.86,0.69,0.98,0.58,0.81,0.27,0.73,0.29,DST_091_M_ANG.csv
0.56,0.43,0.47,0.21,0.95,0.82,0.98,0.95,0.75,0.82,0.58,0.89,0.67,0.58,0.56,0.31,0.4,DST_013_M_DIS.csv
0.86,0.56,0.89,0.98,0.49,0.54,0.33,0.64,0.43,0.68,0.88,0.92,0.61,0.61,0.31,0.52,0.24,DST_027_F_ANG.csv
0.57,0.78,0.35,0.5,0.74,0.77,0.89,0.76,0.67,0.55,0.45,0.73,0.24,0.57,0.38,0.32,0.37,DST_186_F_DIS.csv
0.53,0.19,0.78,0.23,0.93,0.95,0.59,0.8,0.88,0.89,0.69,0.86,0.88,0.68,0.73,0.61,0.42,DST_093_M_SAD.csv
0.41,0.3,0.91,0.42,0.78,0.82,0.62,0.55,0.62,0.66,0.84,0.9,0.92,0.63,0.39,0.41,0.49,DST_074_M_SAD.csv
0.39,0.25,0.79,0.74,0.46,0.83,0.57,0.43,0.34,0.75,0.72,0.71,0.55,0.64,0.17,0.36,0.25,DST_135_F_ANG.csv
0.52,0.34,0.84,0.44,0.82,0.99,0.97,0.75,0.44,0.63,0.55,0.6,0.25,0.57,0.55,0.47,0.54,DST_174_F_DIS.csv
0.46,0.37,0.96,0.49,0.61,0.65,0.72,0.58,0.32,0.46,0.7,0.93,0.82,0.68,0.24,0.42,0.36,DST_010_M_ANG.csv
0.92,0.97,0.29,0.99,0.55,0.65,0.34,0.43,0.62,0.58,0.64,0.79,0.86,0.62,0.42,0.37,0.24,DST_186_F_FER.csv
0.4,0.33,0.36,0.47,0.95,0.86,0.54,0.74,0.96,0.92,0.72,0.87,0.9,0.81,0.4,0.29,0.39,DST_074_M_HPY.csv
0.79,0.4,0.92,0.44,0.44,0.91,0.5,0.46,0.24,0.26,0.95,0.94,0.84,0.35,0.49,0.38,0.81,DST_142_F_SAD.csv
0.88,0.87,0.57,0.58,0.34,0.57,0.32,0.2,0.51,0.6,0.44,0.51,0.71,0.58,0.52,0.57,0.53,DST_182_F_NUT.csv
0.73,0.35,0.47,0.68,0.96,0.94,0.48,0.9,0.96,0.9,0.67,0.91,0.85,0.69,0.65,0.4,0.5,DST_097_M_HPY.csv
0.68,0.66,0.94,0.63,0.5,0.91,0.73,0.57,0.33,0.68,0.88,0.95,0.79,0.6,0.34,0.42,0.43,DST_173_F_SAD.csv
0.96,0.99,0.61,0.98,0.18,0.49,0.32,0.22,0.34,0.17,0.55,0.52,0.35,0.43,0.85,0.91,0.43,DST_176_F_SUR.csv
0.74,0.77,0.45,0.94,0.52,0.51,0.41,0.28,0.58,0.59,0.71,0.61,0.93,0.53,0.57,0.53,0.28,DST_105_M_FER.csv
0.49,0.37,0.77,0.62,0.6,0.73,0.63,0.51,0.45,0.2,0.77,0.64,0.72,0.46,0.47,0.39,0.38,DST_120_M_NUT.csv
0.35,0.65,0.66,0.86,0.88,0.97,0.98,0.89,0.64,0.37,0.37,0.92,0.31,0.65,0.52,0.49,0.3,DST_036_F_DIS.csv
0.88,0.96,0.37,0.99,0.26,0.47,0.31,0.36,0.47,0.29,0.29,0.32,0.24,0.4,0.59,0.62,0.18,DST_032_F_SUR.csv
0.57,0.57,0.83,0.37,0.63,0.86,0.71,0.36,0.58,0.5,0.61,0.44,0.58,0.47,0.52,0.64,0.45,DST_096_M_NUT.csv
0.91,0.97,0.35,0.99,0.19,0.49,0.23,0.23,0.36,0.14,0.59,0.58,0.26,0.36,0.9,0.88,0.47,DST_126_F_SUR.csv
0.64,0.45,0.83,0.36,0.81,0.94,0.95,0.77,0.56,0.68,0.35,0.65,0.39,0.63,0.52,0.38,0.61,DST_167_F_DIS.csv
0.29,0.51,0.85,0.56,0.69,0.69,0.61,0.48,0.41,0.68,0.77,0.8,0.84,0.75,0.22,0.26,0.32,DST_129_F_ANG.csv
0.96,0.99,0.52,1.0,0.23,0.39,0.25,0.16,0.35,0.18,0.43,0.49,0.43,0.51,0.66,0.89,0.36,DST_182_F_SUR.csv
0.65,0.57,0.47,0.46,0.47,0.54,0.63,0.75,0.51,0.72,0.78,0.84,0.62,0.55,0.63,0.66,0.4,DST_022_M_SAD.csv
0.62,0.7,0.34,0.84,0.24,0.54,0.32,0.16,0.31,0.46,0.72,0.43,0.54,0.57,0.29,0.23,0.35,DST_146_F_NUT.csv
0.46,0.25,0.59,0.43,0.94,0.99,0.97,0.92,0.61,0.81,0.67,0.9,0.62,0.72,0.38,0.32,0.47,DST_128_F_DIS.csv
0.96,0.98,0.48,0.98,0.49,0.56,0.29,0.35,0.64,0.67,0.7,0.68,0.89,0.42,0.54,0.65,0.26,DST_096_M_FER.csv
0.64,0.42,0.81,0.39,0.72,0.54,0.31,0.74,0.54,0.46,0.81,0.78,0.74,0.55,0.69,0.21,0.45,DST_047_M_SAD.csv
0.99,1.0,0.38,0.96,0.51,0.16,0.15,0.45,0.72,0.78,0.62,0.71,0.7,0.55,0.53,0.38,0.48,DST_015_M_FER.csv
0.44,0.45,0.53,0.66,0.83,0.62,0.54,0.78,0.96,0.9,0.28,0.78,0.49,0.64,0.74,0.6,0.34,DST_164_F_HPY.csv
0.78,0.94,0.4,0.97,0.42,0.32,0.55,0.53,0.44,0.37,0.51,0.44,0.27,0.53,0.76,0.85,0.35,DST_043_M_SUR.csv
0.89,0.98,0.24,0.97,0.42,0.14,0.55,0.55,0.52,0.52,0.58,0.49,0.56,0.33,0.87,0.82,0.36,DST_013_M_SUR.csv
0.61,0.44,0.9,0.93,0.53,0.88,0.4,0.35,0.37,0.38,0.73,0.9,0.78,0.67,0.29,0.48,0.35,DST_142_F_ANG.csv
0.67,0.44,0.42,0.75,0.41,0.62,0.28,0.31,0.38,0.29,0.68,0.45,0.69,0.57,0.44,0.24,0.43,DST_170_F_NUT.csv
0.47,0.47,0.69,0.43,0.62,0.53,0.71,0.66,0.47,0.85,0.63,0.95,0.83,0.83,0.25,0.83,0.26,DST_012_M_ANG.csv
0.88,0.97,0.1,0.98,0.32,0.44,0.11,0.14,0.43,0.3,0.81,0.6,0.94,0.59,0.48,0.26,0.26,DST_171_F_FER.csv
0.55,0.47,0.93,0.57,0.6,0.77,0.89,0.82,0.49,0.74,0.95,0.94,0.76,0.42,0.4,0.46,0.43,DST_023_F_SAD.csv
0.81,0.52,0.6,0.75,0.5,0.59,0.47,0.38,0.56,0.3,0.56,0.63,0.51,0.41,0.33,0.34,0.36,DST_084_M_NUT.csv
0.86,0.55,0.58,0.45,0.31,0.69,0.16,0.4,0.39,0.41,0.89,0.93,0.81,0.54,0.52,0.39,0.61,DST_131_F_SAD.csv
0.45,0.36,0.96,0.26,0.86,0.99,0.98,0.71,0.42,0.32,0.73,0.94,0.45,0.59,0.57,0.56,0.32,DST_081_M_DIS.csv
0.46,0.42,0.54,0.32,0.57,0.38,0.57,0.62,0.48,0.55,0.71,0.74,0.67,0.55,0.49,0.42,0.42,DST_012_M_NUT.csv
0.91,0.92,0.27,0.99,0.38,0.54,0.15,0.3,0.41,0.26,0.92,0.77,0.86,0.57,0.44,0.28,0.36,DST_170_F_FER.csv
0.91,0.96,0.39,0.98,0.41,0.57,0.51,0.34,0.49,0.26,0.59,0.41,0.39,0.44,0.9,0.92,0.54,DST_091_M_SUR.csv
0.96,1.0,0.27,0.99,0.28,0.5,0.23,0.18,0.55,0.2,0.35,0.65,0.77,0.46,0.84,0.22,0.32,DST_089_M_FER.csv
0.58,0.32,0.98,0.76,0.79,0.85,0.51,0.46,0.68,0.77,0.52,0.87,0.77,0.85,0.29,0.64,0.17,DST_098_M_ANG.csv
0.7,0.44,0.56,0.7,0.4,0.16,0.53,0.49,0.57,0.76,0.72,0.74,0.8,0.42,0.46,0.24,0.58,DST_004_F_NUT.csv
0.91,0.98,0.39,0.99,0.26,0.45,0.26,0.48,0.44,0.11,0.38,0.54,0.25,0.5,0.78,0.88,0.34,DST_065_F_SUR.csv
0.48,0.27,0.6,0.49,0.92,0.89,0.36,0.8,0.95,0.88,0.5,0.5,0.81,0.45,0.43,0.28,0.31,DST_115_M_HPY.csv
0.64,0.46,0.77,0.83,0.75,0.81,0.59,0.69,0.68,0.8,0.86,0.95,0.87,0.5,0.28,0.36,0.27,DST_002_F_ANG.csv
0.7,0.32,0.98,0.44,0.71,0.84,0.61,0.63,0.5,0.42,0.96,0.93,0.86,0.56,0.54,0.6,0.59,DST_120_M_SAD.csv
0.52,0.33,0.93,0.48,0.57,0.76,0.45,0.44,0.53,0.83,0.65,0.94,0.7,0.75,0.16,0.81,0.27,DST_081_M_ANG.csv
0.44,0.48,0.92,0.68,0.83,0.71,0.93,0.84,0.41,0.65,0.9,0.95,0.59,0.65,0.25,0.62,0.37,DST_043_M_ANG.csv
0.63,0.37,0.71,0.37,0.81,0.91,0.93,0.76,0.59,0.5,0.68,0.71,0.42,0.53,0.5,0.28,0.58,DST_004_F_DIS.csv
0.9,0.97,0.43,0.92,0.43,0.53,0.54,0.55,0.66,0.14,0.65,0.65,0.47,0.29,0.82,0.76,0.43,DST_105_M_SUR.csv
0.92,0.95,0.46,1.0,0.34,0.52,0.19,0.16,0.44,0.43,0.78,0.79,0.87,0.62,0.7,0.34,0.31,DST_126_F_FER.csv
0.92,0.98,0.45,0.99,0.41,0.41,0.55,0.27,0.49,0.1,0.6,0.59,0.24,0.44,0.78,0.91,0.18,DST_086_M_SUR.csv
0.88,0.94,0.48,0.98,0.31,0.63,0.56,0.3,0.43,0.11,0.48,0.51,0.23,0.55,0.89,0.83,0.52,DST_024_F_SUR.csv
